nodes,ntrees
160,441235015883543588123335319013488010690511349210208396079341236421864577
161,1292049858632540624995827931124102403122248298572552210016059652703638588
162,3783674174889366497149526575580637689237319753713179238035512420596655339
163,11080848932950313204520480607878821622368070688719159448392642476898572694
164,32453151625318245113052241411475169279456647163175178234778031657360858698
165,95052811368305002383779036012429067137142055372634872454643924349336979183
166,278417804119243218614168906446435758330808103386317314191004723681940564053
167,815553964460122382747473424328063818351493112023469328997748289298973344523
168,2389085991492006032190423931302317063090110134015476845615010072983508704783
169,6998967261207301746138303741473831302593357057506135598276457602765079009986
170,20504962113985965815884696788979202172292976747246429719427480947194635784968
171,60076765350891234302491783742360686319103080146006962062910380322692095328573
172,176025833460614963080434845794616946157436070410895256515594013210194249066978
173,515784535078762988301608128087856767358826748814684216271201547836498705178936
174,1511409015607900041159301488235729971958523716613241718448335078495912889876963
175,4429117845326221366130970974271654324348797332122113792245382972873694999857768
176,12979971908218548122180145976356718296679221059955337738439058966237725771195935
177,38040946812846442861764234256670584583980056811962244919547226621595005676077260
178,111493537176976066435335745886349187632448667337373158475970696359107459823133672
179,326789916761822523526030743464037693233289019987943973503498921788243246327298214
180,957873040125878901792041495224423540997491805027052844176615704131554957226318913
181,2807807792458483718953785223157908401581856461817646854010434101847653403579457661
182,8230888166799088807963198014601979481543272519722751229137994609023552635632007796
183,24129354817950511717299460210228304745283163603840856459867816388841543557931141504
184,70739858467234431559564266564658709745436541520459970557547216246281631302832449376
185,207396737550966416328556389633485009757050574351146105129345465627236931090697962413
186,608077177443688717836574107418700488202092861491771730612191865603759001191446668526
187,1782930160794152846970216072974454098382095138074538367617463100562834823920670332703
188,5227916033654835535331788926259684805052400675189698421100307430121096593239076534205
189,15329970586605475325711298393513301882694795755167104953322366991550545404075877710457
190,44954408805472185592474456617433277756092941408937344120007592731164880684908507788266
191,131832145235738495695020231246592576337044821405877380569677331802512218241578369385997
192,386623473698223149312414740050144363009251779799980362882635636139586897225620066323014
193,1133894902501184506125891637443121385674840567198449928313572004023935942434124081286443
194,3325637353100727445008723836048844975808386188140510297691859015010802421393423961130465
195,9754259340135479192048940554788220459792997995399371642359379984703603524711449120699026
196,28610856011837274539166560736484015136723860529044739177455842354556264495231236483678933
197,83923652251978547313034175952442516576387349170958872481363110909719319046063898948260813
198,246181094248238937664946453783096993093223917304425695075826209267469373221956432083494518
199,722173667862631609254923524147955530758273314821726531037139336204121775298607639111145118
200,2118580948321526428594318855482881200883755843660920029149862986332799610070001476391105736
201,6215338325734742198735726806241223810712195744984064031663670002809603231639854398599854128
202,18234783934028812398853296324648314827933647397817037449605235535915060809574412991460336762
203,53499835427738170153357879071133062289230733289058014044642116238867807144660677220522728407
204,156971240405062258743768237543461814169368195453647587017012383951957386800452773519762931196
205,460578222156708095993733770597903595356736683252263405077976416827472971793315190671767063176
206,1351456963504488596422002789746295449731938351295341826859779717345977042076973305252409635382
207,3965668464152520144029672670535092587828884512183233885156492750211666290804060417850611485149
208,11637127725160846114123003379159108904962545025984245893235180508038119729673954731235173222842
209,34149965263422222602566901700637306075789186657290201847590615772539832068919251646703217529937
210,100218905522734373115420269448054118430641854060401708020900836845270322566171915695666834292791
211,294119505453790140326596796531110520903632330634450587018344085959765518139487399999942855927983
212,863202403484960693394687774343486383377684406759058193303242302587108068857289996660072135760402
