experiment_id,successful,wave_amplitude,wave_frequency,square_position,square_dimension_perc,line_center_coordinates,line_thickness_perc,line_dimension_perc,line_angle,rotation,scale,filename
37,False,0.2,1.38,"(320, 123)",0.3,,0.0,0.0,0.0,"(-18, -13)",0.919383035214479,_claycode2-TtAkZf4j98TBiE.png
38,False,0.2,1.38,"(225, 375)",0.4,,0.0,0.0,0.0,"(-18, -13)",0.919383035214479,_claycode2-TtAkZf4j98TBiE.png
39,False,0.2,1.38,"(297, 213)",0.5,,0.0,0.0,0.0,"(-18, -13)",0.919383035214479,_claycode2-TtAkZf4j98TBiE.png
40,False,0.2,1.59,"(447, 605)",0.1,,0.0,0.0,0.0,"(-14, -20)",1.0401042952337263,_claycode2-fZ5GWiX8.png
41,False,0.2,1.59,"(533, 137)",0.2,,0.0,0.0,0.0,"(-14, -20)",1.0401042952337263,_claycode2-fZ5GWiX8.png
42,False,0.2,1.59,"(146, 358)",0.3,,0.0,0.0,0.0,"(-14, -20)",1.0401042952337263,_claycode2-fZ5GWiX8.png
43,False,0.2,1.59,"(543, 365)",0.4,,0.0,0.0,0.0,"(-14, -20)",1.0401042952337263,_claycode2-fZ5GWiX8.png
44,False,0.2,1.59,"(302, 286)",0.5,,0.0,0.0,0.0,"(-14, -20)",1.0401042952337263,_claycode2-fZ5GWiX8.png
45,False,0.2,1.23,"(238, 629)",0.1,,0.0,0.0,0.0,"(-15, -19)",0.9310124307804607,_claycode2-fZ5GWiX8.png
46,False,0.2,1.23,"(608, 80)",0.2,,0.0,0.0,0.0,"(-15, -19)",0.9310124307804607,_claycode2-fZ5GWiX8.png
47,False,0.2,1.23,"(219, 574)",0.3,,0.0,0.0,0.0,"(-15, -19)",0.9310124307804607,_claycode2-fZ5GWiX8.png
48,False,0.2,1.23,"(527, 247)",0.4,,0.0,0.0,0.0,"(-15, -19)",0.9310124307804607,_claycode2-fZ5GWiX8.png
49,False,0.2,1.23,"(252, 280)",0.5,,0.0,0.0,0.0,"(-15, -19)",0.9310124307804607,_claycode2-fZ5GWiX8.png
50,False,0.2,1.48,"(531, 255)",0.1,,0.0,0.0,0.0,"(-14, -19)",0.9639880165459513,_claycode2-faRZ0H0PmA.png
51,False,0.2,1.48,"(195, 432)",0.2,,0.0,0.0,0.0,"(-14, -19)",0.9639880165459513,_claycode2-faRZ0H0PmA.png
52,False,0.2,1.48,"(263, 158)",0.3,,0.0,0.0,0.0,"(-14, -19)",0.9639880165459513,_claycode2-faRZ0H0PmA.png
53,False,0.2,1.48,"(289, 490)",0.4,,0.0,0.0,0.0,"(-14, -19)",0.9639880165459513,_claycode2-faRZ0H0PmA.png
54,False,0.2,1.48,"(315, 194)",0.5,,0.0,0.0,0.0,"(-14, -19)",0.9639880165459513,_claycode2-faRZ0H0PmA.png
55,False,0.2,1.88,"(53, 59)",0.1,,0.0,0.0,0.0,"(17, 11)",0.9534533178011094,_claycode2-faRZ0H0PmA.png
56,False,0.2,1.88,"(123, 476)",0.2,,0.0,0.0,0.0,"(17, 11)",0.9534533178011094,_claycode2-faRZ0H0PmA.png
57,False,0.2,1.88,"(201, 152)",0.3,,0.0,0.0,0.0,"(17, 11)",0.9534533178011094,_claycode2-faRZ0H0PmA.png
58,False,0.2,1.88,"(545, 171)",0.4,,0.0,0.0,0.0,"(17, 11)",0.9534533178011094,_claycode2-faRZ0H0PmA.png
59,False,0.2,1.88,"(391, 211)",0.5,,0.0,0.0,0.0,"(17, 11)",0.9534533178011094,_claycode2-faRZ0H0PmA.png
60,False,0.2,1.99,"(389, 269)",0.1,,0.0,0.0,0.0,"(-12, 20)",1.0645865584702332,_claycode2-fragment-8E5MS2e.png
61,False,0.2,1.99,"(209, 561)",0.2,,0.0,0.0,0.0,"(-12, 20)",1.0645865584702332,_claycode2-fragment-8E5MS2e.png
62,False,0.2,1.99,"(249, 278)",0.3,,0.0,0.0,0.0,"(-12, 20)",1.0645865584702332,_claycode2-fragment-8E5MS2e.png
63,True,0.2,1.99,"(404, 538)",0.4,,0.0,0.0,0.0,"(-12, 20)",1.0645865584702332,_claycode2-fragment-8E5MS2e.png
64,False,0.2,1.99,"(299, 296)",0.5,,0.0,0.0,0.0,"(-12, 20)",1.0645865584702332,_claycode2-fragment-8E5MS2e.png
65,True,0.2,1.61,"(115, 280)",0.1,,0.0,0.0,0.0,"(16, 20)",1.0170674298068711,_claycode2-fragment-8E5MS2e.png
66,True,0.2,1.61,"(255, 186)",0.2,,0.0,0.0,0.0,"(16, 20)",1.0170674298068711,_claycode2-fragment-8E5MS2e.png
67,True,0.2,1.61,"(584, 535)",0.3,,0.0,0.0,0.0,"(16, 20)",1.0170674298068711,_claycode2-fragment-8E5MS2e.png
68,False,0.2,1.61,"(141, 325)",0.4,,0.0,0.0,0.0,"(16, 20)",1.0170674298068711,_claycode2-fragment-8E5MS2e.png
69,False,0.2,1.61,"(270, 384)",0.5,,0.0,0.0,0.0,"(16, 20)",1.0170674298068711,_claycode2-fragment-8E5MS2e.png
70,True,0.2,1.55,"(65, 105)",0.1,,0.0,0.0,0.0,"(13, -17)",1.029039165420928,_claycode2-fragment-DPVvmG0KpNe4E.png
71,True,0.2,1.55,"(192, 347)",0.2,,0.0,0.0,0.0,"(13, -17)",1.029039165420928,_claycode2-fragment-DPVvmG0KpNe4E.png
72,False,0.2,1.55,"(318, 552)",0.3,,0.0,0.0,0.0,"(13, -17)",1.029039165420928,_claycode2-fragment-DPVvmG0KpNe4E.png
